run,file,status,pages,vision_pages,char_count,note
2026-06-24 03:48:47,(수정1)[음악사업2본부] NF_정규2집_컨셉기획안_250516.pdf,vision,20,18,2850,18 vision pages
2026-06-24 03:48:47,"[NF] FLY HIGH #2_프로모션 기획안(사전,사후)_181219.pdf",vision,6,5,2185,5 vision pages
2026-06-24 03:48:47,[NF]FH 2ND 싱글_옥탑방_발매보고서_190515.pdf,vision,30,19,12792,19 vision pages
2026-06-24 03:48:47,[음악사업1본부_기획제작] N.Flying DS ‘환절기’ 프로덕션 기획안 (유관부서 공유용).pdf,vision,21,4,8272,4 vision pages
2026-06-24 03:48:47,[음악사업1본부_기획제작] N.Flying DS ‘환절기’ 프로모션 일정_유관부서공유용.pdf,text,1,0,297,0 vision pages
2026-06-24 03:48:47,[음악사업2본부] NF_2024DS_네가 내 마음에 자리 잡았다_발매보고서_240822(최종).pdf,vision,17,12,6166,12 vision pages
2026-06-24 03:48:47,[음악사업2본부] NF_2024DS_네가내맘에자리잡았다_기획안_240618.pdf,vision,8,8,1820,8 vision pages
2026-06-24 03:48:47,☆[음악사업2본부] 엔플라잉 정규 2집 'Everlasting' 발매보고서_0911.pdf,vision,37,5,22532,5 vision pages
